Venue,Cluster_Assignment
"Davies Park, Queenstown",-1
De Beers Diamond Oval,-1
"De Beers Diamond Oval, Kimberley",1
Desert Springs Cricket Ground,-1
"Desert Springs Cricket Ground, Almeria",1
Diamond Oval,-1
"Diamond Oval, Kimberley",1
Docklands Stadium,1
"Docklands Stadium, Melbourne",1
Dower Park,1
Dr DY Patil Sports Academy,1
"Dr DY Patil Sports Academy, Mumbai",1
Dr P.V.G. Raju ACA Sports Complex,1
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu",1
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",1
Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,-1
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1
Dreux Sport Cricket Club,1
Drummoyne Oval,1
"Drummoyne Oval, Sydney",1
Dubai International Cricket Stadium,-1
Dubai Sports City Cricket Stadium,-1
Eastern Oval,1
"Eastern Oval, Ballarat",1
Eden Gardens,1
"Eden Gardens, Kolkata",1
Eden Park,-1
Eden Park No 2,-1
Eden Park Outer Oval,1
"Eden Park Outer Oval, Auckland",1
"Eden Park, Auckland",1
Edgbaston,1
"Edgbaston Foundation Community Sports Ground, Birmingham",-1
"Edgbaston, Birmingham",-1
"Ekeberg Cricket Ground 1, Oslo",1
"Ekeberg Cricket Ground 2, Oslo",1
"Enborne Lodge, Newbury",-1
Entebbe Cricket Oval,1
Europa Sports Complex,1
F B Colony Ground,1
FB Fields,-1
"FB Fields, St Clement",1
"FP Fenner's Ground, Cambridge",1
FTZ Sports Complex (BOI),-1
Faleata Oval No 1,-1
Faleata Oval No 2,-1
"Faleata Oval No 2, Apia",1
Faleata Oval No 3,-1
Farmers Cricket Club Ground,-1
"Farmers Cricket Club Ground, St Martin",-1
Feroz Shah Kotla,1
